Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
167,"PE Morange, HR Lijnen, MC Alessi, ...","Influence of PAI-1 on adipose tissue growth and metabolic parameters in a murine model of diet-induced obesity",2000,"… , and vascular biology","Am Heart Assoc","https://www.ahajournals.org/doi/abs/10.1161/01.ATV.20.4.1150","https://scholar.google.com/scholar?cites=17164965017820042713&as_sdt=2005&sciodt=2007&hl=en",11,"2023-07-26 12:28:32","","10.1161/01.ATV.20.4.1150","","",,,,,167,7.26,42,4,23,"… This weight gain was accompanied by adipocyte hypertrophy and an increase in the … measured in gonadal adipose tissue extracts (ng/g of tissue) from HFD PAI-1 +/+ mice was slightly …","https://www.ahajournals.org/doi/full/10.1161/01.atv.20.4.1150","https://scholar.google.com/scholar?q=related:2ZUrZb00Nu4J:scholar.google.com/&scioq=%22adipocyte%22+%22diameter%22+%22size%22+%22mice%22+%22gonadal%22+%22adipose+tissue%22+%22hfd%22&hl=en&as_sdt=2007&as_ylo=1950&as_yhi=2023"
37,"CF Cheng, HC Ku, JJ Cheng, SW Chao, HF Li, ...","Adipocyte browning and resistance to obesity in mice is induced by expression of ATF3",2019,"Communications …","nature.com","https://www.nature.com/articles/s42003-019-0624-y","https://scholar.google.com/scholar?cites=18101421003780458258&as_sdt=2005&sciodt=2007&hl=en",12,"2023-07-26 12:28:32","HTML","","","",,,,,37,9.25,6,6,4,"… increased white adipose tissue browning and reduced lipogenesis in HFD-induced obese mice. The … In addition, peri-gonadal fat-pad weight per body weight, adipocyte diameter, and …","https://www.nature.com/articles/s42003-019-0624-y","https://scholar.google.com/scholar?q=related:EgchXH8qNfsJ:scholar.google.com/&scioq=%22adipocyte%22+%22diameter%22+%22size%22+%22mice%22+%22gonadal%22+%22adipose+tissue%22+%22hfd%22&hl=en&as_sdt=2007&as_ylo=1950&as_yhi=2023"
105,"V Christiaens, M Van Hul, HR Lijnen, ...","CD36 promotes adipocyte differentiation and adipogenesis",2012,"Biochimica et Biophysica …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0304416512000943","https://scholar.google.com/scholar?cites=14393125435131985878&as_sdt=2005&sciodt=2007&hl=en",13,"2023-07-26 12:28:32","HTML","","","",,,,,105,9.55,26,4,11,"… well as subcutaneous and gonadal adipose tissue mass were … Impaired adipose tissue growth in our model could not be … impaired adipose tissue development in CD36 −/− mice on HFD…","https://www.sciencedirect.com/science/article/pii/S0304416512000943","https://scholar.google.com/scholar?q=related:1n-uQFOnvscJ:scholar.google.com/&scioq=%22adipocyte%22+%22diameter%22+%22size%22+%22mice%22+%22gonadal%22+%22adipose+tissue%22+%22hfd%22&hl=en&as_sdt=2007&as_ylo=1950&as_yhi=2023"
486,"US Pettersson, TB Walden, PO Carlsson, L Jansson, ...","Female mice are protected against high-fat diet induced metabolic syndrome and increase the regulatory T cell population in adipose tissue",2012,"","journals.plos.org","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0046057","https://scholar.google.com/scholar?cites=11671670389243372001&as_sdt=2005&sciodt=2007&hl=en",14,"2023-07-26 12:28:32","HTML","","","",,,,,486,44.18,97,5,11,"… In conclusion, female mice are protected against HFD-induced … Instead, the mean islet diameter in the sections was … in gonadal adipose tissue of control female, HFD female, control …","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0046057","https://scholar.google.com/scholar?q=related:4eFLPmEa-qEJ:scholar.google.com/&scioq=%22adipocyte%22+%22diameter%22+%22size%22+%22mice%22+%22gonadal%22+%22adipose+tissue%22+%22hfd%22&hl=en&as_sdt=2007&as_ylo=1950&as_yhi=2023"
82,"M Styner, GM Pagnotti, C McGrath, X Wu, ...","Exercise decreases marrow adipose tissue through ß‐oxidation in obese running mice",2017,"Journal of Bone and …","Wiley Online Library","https://asbmr.onlinelibrary.wiley.com/doi/abs/10.1002/jbmr.3159","https://scholar.google.com/scholar?cites=18131969153748992881&as_sdt=2005&sciodt=2007&hl=en",15,"2023-07-26 12:28:32","","10.1002/jbmr.3159","","",,,,,82,13.67,16,5,6,"… to quantify adipose tissue volume as well as adipocyte size and … Typically, HFD-fed mice ingest higher total daily calories … MRI and by the weight of gonadal fat pads—also responded to …","https://asbmr.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/jbmr.3159","https://scholar.google.com/scholar?q=related:cYOMx-CxofsJ:scholar.google.com/&scioq=%22adipocyte%22+%22diameter%22+%22size%22+%22mice%22+%22gonadal%22+%22adipose+tissue%22+%22hfd%22&hl=en&as_sdt=2007&as_ylo=1950&as_yhi=2023"
0,"Y Luan, M You, PC Xu, T Thompson, ...","Activin A Plays a Critical Role in Adipose Tissue Wasting in the Progression of Cancer Cachexia",2021,"Journal of the …","academic.oup.com","https://academic.oup.com/jes/article-abstract/5/Supplement_1/A40/6240474","",16,"2023-07-26 12:28:32","","","","",,,,,0,0.00,0,5,2,"… We harvested and analyzed multi-sites adipose tissues (gonadal, … adipocyte diameter only in women with obesity, suggesting … of visceral adipose tissue indicated that HFD mice had a …","https://academic.oup.com/jes/article-pdf/5/Supplement_1/A40/37200281/bvab048.079.pdf","https://scholar.google.com/scholar?q=related:VExeXhKdJaIJ:scholar.google.com/&scioq=%22adipocyte%22+%22diameter%22+%22size%22+%22mice%22+%22gonadal%22+%22adipose+tissue%22+%22hfd%22&hl=en&as_sdt=2007&as_ylo=1950&as_yhi=2023"
40,"YK Cho, Y Son, SN Kim, HD Song, M Kim, JH Park, ...","MicroRNA-10a-5p regulates macrophage polarization and promotes therapeutic adipose tissue remodeling",2019,"Molecular …","Elsevier","https://www.sciencedirect.com/science/article/pii/S2212877819307367","https://scholar.google.com/scholar?cites=867398274552053848&as_sdt=2005&sciodt=2007&hl=en",17,"2023-07-26 12:28:32","HTML","","","",,,,,40,10.00,6,7,4,"… in gonadal white adipose tissue (gWAT). Co-culture of ASCs with ATMs of wild type mice promoted brown adipocyte … Total adipocyte numbers in eWAT of mice from the HFD study were …","https://www.sciencedirect.com/science/article/pii/S2212877819307367","https://scholar.google.com/scholar?q=related:WEB2kSKeCQwJ:scholar.google.com/&scioq=%22adipocyte%22+%22diameter%22+%22size%22+%22mice%22+%22gonadal%22+%22adipose+tissue%22+%22hfd%22&hl=en&as_sdt=2007&as_ylo=1950&as_yhi=2023"
73,"R García-Martín, VI Alexaki, N Qin, ...","Adipocyte-specific hypoxia-inducible factor 2α deficiency exacerbates obesity-induced brown adipose tissue dysfunction and metabolic dysregulation",2016,"… and cellular biology","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1128/MCB.00430-15","https://scholar.google.com/scholar?cites=8266928523484703055&as_sdt=2005&sciodt=2007&hl=en",18,"2023-07-26 12:28:32","","10.1128/MCB.00430-15","","",,,,,73,10.43,18,4,7,"… mice fed an HFD for 24 weeks; data from mice fed an HFD for … gonadal adipocyte fraction from control and AdHIF2KO mice … (C) Quantification of brown adipocyte cell diameter and fitting …","https://www.tandfonline.com/doi/full/10.1128/MCB.00430-15","https://scholar.google.com/scholar?q=related:T6nZKbEHunIJ:scholar.google.com/&scioq=%22adipocyte%22+%22diameter%22+%22size%22+%22mice%22+%22gonadal%22+%22adipose+tissue%22+%22hfd%22&hl=en&as_sdt=2007&as_ylo=1950&as_yhi=2023"
9,"L Geys, C Vranckx, HR Lijnen, I Scroyen","CD36 deficiency blunts effects of diet on regulatory T cells in murine gonadal adipose tissue and mesenteric lymph nodes",2015,"Cellular Immunology","Elsevier","https://www.sciencedirect.com/science/article/pii/S0008874915300125","https://scholar.google.com/scholar?cites=17000249099548666626&as_sdt=2005&sciodt=2007&hl=en",19,"2023-07-26 12:28:32","HTML","","","",,,,,9,1.13,2,4,8,"… adipocyte cell death and adipose tissue inflammation. It was also shown that CD36 contributes to development of high fat diet (HFD) … in GN adipose tissue of obese (HFD) WT mice was …","https://www.sciencedirect.com/science/article/pii/S0008874915300125","https://scholar.google.com/scholar?q=related:AqvAH3wE7esJ:scholar.google.com/&scioq=%22adipocyte%22+%22diameter%22+%22size%22+%22mice%22+%22gonadal%22+%22adipose+tissue%22+%22hfd%22&hl=en&as_sdt=2007&as_ylo=1950&as_yhi=2023"
3,"AJ Richard, H Hang, TD Allerton, P Zhao, ...","Loss of adipocyte Stat5 confers increased depot-specific adiposity in Male and female mice that is not associated with altered adipose tissue lipolysis",2022,"Frontiers in …","frontiersin.org","https://www.frontiersin.org/articles/10.3389/fendo.2022.812802/full","https://scholar.google.com/scholar?cites=16381963577398765288&as_sdt=2005&sciodt=2007&hl=en",20,"2023-07-26 12:28:32","HTML","10.3389/fendo.2022.812802","","",,,,,3,3.00,1,5,1,"… adipose tissue mass, but no changes in visceral or gonadal fat … 6 weeks of age (WOA), followed by HFD (60% kcal from fat) at … of adipocyte sizes; d is the mean diameter calculated from …","https://www.frontiersin.org/articles/10.3389/fendo.2022.812802/full","https://scholar.google.com/scholar?q=related:6KY9ChRtWOMJ:scholar.google.com/&scioq=%22adipocyte%22+%22diameter%22+%22size%22+%22mice%22+%22gonadal%22+%22adipose+tissue%22+%22hfd%22&hl=en&as_sdt=2007&as_ylo=1950&as_yhi=2023"
