Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
47,"SE Lee, W Ma, EM Rattigan, A Aleshin, ...","Ultrastructural features of retinal capillary basement membrane thickening in diabetic swine",2010,"Ultrastructural …","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.3109/01913120903308583","https://scholar.google.com/scholar?cites=2810737813215981523&as_sdt=2005&sciodt=2007&hl=en",11,"2023-07-14 12:43:51","","10.3109/01913120903308583","","",,,,,47,3.62,9,5,13,"… While diabetic BALB/c mice have BMT after 20 months, STZ-injected C57Bl/6J mice did not develop BMT even after 18 months [Citation14,Citation15]. Yucatan miniature pigs, …","https://www.tandfonline.com/doi/full/10.3109/01913120903308583","https://scholar.google.com/scholar?q=related:0y9_MSa_AScJ:scholar.google.com/&scioq=%22capillary+basement+membrane+thickness%22+%22mice%22&hl=en&as_sdt=2007&as_ylo=1950&as_yhi=2023"
129,"RS Clements Jr, WG Robison Jr, MP Cohen","Anti-glycated albumin therapy ameliorates early retinal microvascular pathology in db/db mice",1998,"Journal of Diabetes and its …","Elsevier","https://www.sciencedirect.com/science/article/pii/S1056872797000512","https://scholar.google.com/scholar?cites=14497958961134643864&as_sdt=2005&sciodt=2007&hl=en",12,"2023-07-14 12:43:51","HTML","","","",,,,,129,5.16,43,3,25,"… /db control (treated with irrelevant immunoglobulin) and A717-treated db/db mice. (A) Mean capillary basement membrane thickness (± standard error of the mean). *P <0.05 versus db/…","https://www.sciencedirect.com/science/article/pii/S1056872797000512","https://scholar.google.com/scholar?q=related:mCqfltwYM8kJ:scholar.google.com/&scioq=%22capillary+basement+membrane+thickness%22+%22mice%22&hl=en&as_sdt=2007&as_ylo=1950&as_yhi=2023"
2,"MC Gillies, TE Mandel","The prevention of diabetic retinal and renal basement membrane thickening in mice by islet cell allografts",1990,"Australian and New Zealand Journal of …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1442-9071.1990.tb00581.x","https://scholar.google.com/scholar?cites=10231698151303445407&as_sdt=2005&sciodt=2007&hl=en",13,"2023-07-14 12:43:51","","10.1111/j.1442-9071.1990.tb00581.x","","",,,,,2,0.06,1,2,33,"… -Retinal capillary basement membrane thickness of untreated diabetics, normals, recipients of BALBlc tissue four weeks after induction of diabetes by STZ, and recipients of C3H grafts …","https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1442-9071.1990.tb00581.x","https://scholar.google.com/scholar?q=related:n3t2PUJL_o0J:scholar.google.com/&scioq=%22capillary+basement+membrane+thickness%22+%22mice%22&hl=en&as_sdt=2007&as_ylo=1950&as_yhi=2023"
388,"RJ Koenig, CM Peterson, C Kilo, A Cerami, ...","Hemoglobin AIc as an indicator of the degree of glucose intolerance in diabetes",1976,"Diabetes","Am Diabetes Assoc","https://diabetesjournals.org/diabetes/article-abstract/25/3/230/4302","https://scholar.google.com/scholar?cites=10341389154261055556&as_sdt=2005&sciodt=2007&hl=en",14,"2023-07-14 12:43:51","","","","",,,,,388,8.26,78,5,47,"… factor present in elevated amounts in mice with either genetic or chemically induced diabetes … measurements of skeletal muscle capillary basement-membrane thickness, in addition to …","","https://scholar.google.com/scholar?q=related:RLjOD6X-g48J:scholar.google.com/&scioq=%22capillary+basement+membrane+thickness%22+%22mice%22&hl=en&as_sdt=2007&as_ylo=1950&as_yhi=2023"
0,"EJ Kuiper, R van Zijderveld, ...","Connective Tissue Growth Factor is necessary for retinal capillary basement membrane thickening in diabetic mice",2006,"The role of CTGF in …","dspace.library.uu.nl","https://dspace.library.uu.nl/bitstream/handle/1874/19350/full.pdf?sequence=18#page=122","",15,"2023-07-14 12:43:51","PDF","","","",,,,,0,0.00,0,3,17,"… capillary BM thickness between wild type mice and mice lacking one functional CTGF allele (CTGF… of the BM of retinal capillaries was significantly lower in mice lacking one CTGF allele. …","https://dspace.library.uu.nl/bitstream/handle/1874/19350/full.pdf?sequence=18#page=122","https://scholar.google.com/scholar?q=related:CjJo_oakWKYJ:scholar.google.com/&scioq=%22capillary+basement+membrane+thickness%22+%22mice%22&hl=en&as_sdt=2007&as_ylo=1950&as_yhi=2023"
20,"RA Cuthbertson, TE Mandel","Anatomy of the mouse retina. Capillary basement membrane thickness.",1986,"Investigative ophthalmology & …","iovs.arvojournals.org","https://iovs.arvojournals.org/article.aspx?articleid=2177473","https://scholar.google.com/scholar?cites=16145205852431551715&as_sdt=2005&sciodt=2007&hl=en",16,"2023-07-14 12:43:51","","","","",,,,,20,0.54,10,2,37,"… Transmission electron microscopy of ultrathin sections was used to measure mouse retinal capillary basement membrane thickness (BMT). BMT increases predictably with age from 50 +…","","https://scholar.google.com/scholar?q=related:44y9iy5LD-AJ:scholar.google.com/&scioq=%22capillary+basement+membrane+thickness%22+%22mice%22&hl=en&as_sdt=2007&as_ylo=1950&as_yhi=2023"
47,"S Roy, D Kim","Retinal capillary basement membrane thickening: Role in the pathogenesis of diabetic retinopathy",2021,"Progress in Retinal and Eye Research","Elsevier","https://www.sciencedirect.com/science/article/pii/S1350946220300756","https://scholar.google.com/scholar?cites=2324704266427620662&as_sdt=2005&sciodt=2007&hl=en",17,"2023-07-14 12:43:51","HTML","","","",,,,,47,23.50,24,2,2,"… knockout mice, we observed that diabetic LOX heterozygous knockout mice exhibited … retinal vascular leakage compared to that of diabetic wild type mice (Kim et al., 2019b). Taken …","https://www.sciencedirect.com/science/article/pii/S1350946220300756","https://scholar.google.com/scholar?q=related:Nt1AqDYCQyAJ:scholar.google.com/&scioq=%22capillary+basement+membrane+thickness%22+%22mice%22&hl=en&as_sdt=2007&as_ylo=1950&as_yhi=2023"
45,"L Orci, W Stauffacher, M Amherdt, R Pictet, AE Renold, ...","The kidney of spiny mice (Acomys cahirinus): Electron microscopy of glomerular changes associated with ageing and tubular glycogen accumulation during …",1970,"Diabetologia","Springer","https://link.springer.com/article/10.1007/BF01212248","https://scholar.google.com/scholar?cites=13261861486041658566&as_sdt=2005&sciodt=2007&hl=en",18,"2023-07-14 12:43:51","","10.1007/BF01212248","","",,,,,45,0.85,8,6,53,"… The mean of the 15 measurements represents the ""glomerular capillary basement membrane thickness"" of a given animal. Comparisons between animals, or groups of animals, and the …","https://link.springer.com/content/pdf/10.1007/BF01212248.pdf","https://scholar.google.com/scholar?q=related:xnTy18GYC7gJ:scholar.google.com/&scioq=%22capillary+basement+membrane+thickness%22+%22mice%22&hl=en&as_sdt=2007&as_ylo=1950&as_yhi=2023"
236,"KL Hudkins, W Pichaiwong, T Wietecha, ...","BTBR Ob/Ob mutant mice model progressive diabetic nephropathy",2010,"Journal of the …","ncbi.nlm.nih.gov","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3013527/","https://scholar.google.com/scholar?cites=1268807069114959716&as_sdt=2005&sciodt=2007&hl=en",19,"2023-07-14 12:43:51","HTML","","","",,,,,236,18.15,59,4,13,"… Measurement of glomerular capillary basement membrane thickness by electron microscopy showed an increase of 18% in BTBR ob/ob relative to BTBR WT at 20 weeks (181.4 ± 3.8 …","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3013527/","https://scholar.google.com/scholar?q=related:ZAcak061mxEJ:scholar.google.com/&scioq=%22capillary+basement+membrane+thickness%22+%22mice%22&hl=en&as_sdt=2007&as_ylo=1950&as_yhi=2023"
66,"F Mac-Moune Lai, CC Szeto, PCL Choi, KKL Ho, ...","Isolate diffuse thickening of glomerular capillary basement membrane: a renal lesion in prediabetes?",2004,"Modern …","nature.com","https://www.nature.com/articles/3800219","https://scholar.google.com/scholar?cites=11993490547917670459&as_sdt=2005&sciodt=2007&hl=en",20,"2023-07-14 12:43:51","HTML","","","",,,,,66,3.47,13,5,19,"… , the capillary basement membrane thickness in patients with MCN was shown to be similar, and may serve as reference to normal ranges. The capillary basement membrane thickness …","https://www.nature.com/articles/3800219","https://scholar.google.com/scholar?q=related:O0ij7RtwcaYJ:scholar.google.com/&scioq=%22capillary+basement+membrane+thickness%22+%22mice%22&hl=en&as_sdt=2007&as_ylo=1950&as_yhi=2023"
